sweep,condition_value,speed_m_per_s,robot_count,replication,split,causal_events,primary_events,unique_causal_robots,censored_causal_events,treated_traversal_rate_per_s,control_traversal_rate_per_s,attributable_rate_loss_per_s,attributable_severity_s,traversal_loss,collision_count,crossing_violation_count
density,8,1.2,8,10,validation,1,1,1,0,0.15969406407804457,0.16000000000000505,0.00030593592196048736,1.8356155317629523,0.03671231063525937,0,0
density,8,1.2,8,11,validation,1,1,1,0,0.15921275808121207,0.16000000000000505,0.0007872419187929802,4.7234515127578165,0.0944690302551597,0,0
density,12,1.2,12,0,training,1,1,1,0,0.23962467189548742,0.2400000000000076,0.0003753281045201784,2.251968627120816,0.045039372542417765,0,0
density,12,1.2,12,1,training,3,1,3,0,0.23808464985994618,0.2400000000000076,0.001915350140061417,11.49210084037037,0.22984201680736854,0,0
density,12,1.2,12,2,training,2,1,2,0,0.23891182531651758,0.2400000000000076,0.001088174683490012,6.5290481009410275,0.1305809620188005,0,0
density,12,1.2,12,3,training,2,1,2,0,0.23915107130408958,0.2400000000000076,0.0008489286959180165,5.093572175508874,0.10187144351015766,0,0
density,12,1.2,12,4,training,2,1,2,0,0.23930821299947638,0.2400000000000076,0.0006917870005312132,4.150722003188436,0.08301444006374416,0,0
density,12,1.2,12,5,training,2,1,2,0,0.2388223324150586,0.2400000000000076,0.0011776675849489993,7.066005509695023,0.14132011019387675,0,0
density,12,1.2,12,6,validation,3,1,3,0,0.23853479935524766,0.2400000000000076,0.0014652006447599397,8.791203868561514,0.17582407737119182,0,0
density,12,1.2,12,7,validation,1,1,1,0,0.2397226044169666,0.2400000000000076,0.0002773955830409902,1.6643734982458944,0.03328746996491863,0,0
density,12,1.2,12,8,validation,2,1,2,0,0.23901040037214782,0.2400000000000076,0.0009895996278597718,5.937597767159513,0.11875195534316939,0,0
density,12,1.2,12,9,validation,2,1,2,0,0.23907926836557675,0.2400000000000076,0.0009207316344308492,5.524389806585862,0.11048779613169775,0,0
density,12,1.2,12,10,validation,2,1,2,0,0.23929452976740104,0.2400000000000076,0.0007054702326065587,4.232821395640225,0.08465642791278137,0,0
density,12,1.2,12,11,validation,2,1,2,0,0.2387827668286965,0.2400000000000076,0.0012172331713110884,7.303399027867677,0.14606798055733208,0,0
density,16,1.2,16,0,training,3,1,3,0,0.31917086762478863,0.3200000000000101,0.0008291323752214752,4.974794251330488,0.09949588502657368,0,0
